node_key,microservice
0,0
1,2
2,1
3,0
4,2
5,0
6,1
7,2
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,1
17,2
18,2
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,2
53,0
54,2
55,0
56,2
57,0
58,2
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,1
81,2
82,0
83,0
