node, cluster/community
0,3
1,6
2,2
3,3
4,4
5,1
6,2
7,6
8,1
9,6
10,3
11,3
12,7
13,3
14,5
15,2
17,6
18,6
19,3
20,3
21,3
22,3
23,0
24,3
25,2
26,2
29,5
30,1
31,7
32,3
33,3
34,3
35,7
37,1
38,1
39,1
40,1
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,7
52,6
53,7
54,6
55,7
56,6
57,7
58,6
59,3
60,3
61,0
62,3
63,3
64,7
65,3
66,3
67,7
68,0
69,1
70,1
71,3
72,5
73,3
74,3
75,3
76,2
77,1
78,1
79,1
80,2
81,6
82,3
83,3
