node, cluster/community
0,0
1,0
2,0
3,3
4,2
5,3
6,4
7,5
8,6
9,7
10,0
11,4
12,1
13,2
14,3
15,2
16,0
17,0
18,0
19,0
21,2
23,3
25,2
26,2
27,3
28,2
29,1
30,1
31,1
32,2
33,3
34,2
35,4
36,2
37,3
40,3
41,3
42,3
43,3
