node_key,microservice
0,0
1,0
2,1
3,0
4,1
5,1
6,2
7,1
8,1
9,1
10,1
11,0
12,0
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,0
30,0
31,1
32,1
33,1
34,1
35,1
37,1
38,1
39,1
42,1
45,0
46,0
49,0
52,0
53,0
54,0
55,0
56,0
57,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
82,1
83,1
84,1
85,1
87,2
88,2
90,2
92,1
93,1
97,2
99,2
101,2
102,2
104,2
105,2
106,2
107,2
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
